Артикул;Код;Наименование;РодительскаяКатегория;Подкатегория;Цена;Остаток
;00-00001871;Пена монтажная;---;Без категории;;-1
;00-00001874;Фреза;---;Без категории;;-7
;00-00001876;РУКАВ НАПОРНЫЙ DDE С 2 ГОЛОВКАМИ ГР-50 АРТ. РН-50-20;---;Без категории;;-2
;00-00001877;Легковой универсал RENAULT DUSTER;---;Без категории;;
;00-00001879;ЦПГ H-141;---;Без категории;;-1
;00-00001880;Щетка графитовая (пара);---;Без категории;;-262
;00-00001881;Шайба;---;Без категории;;-5
;00-00001882;Кусачки Кобальт 180 мм;---;Без категории;;-3
;00-00001883;Мешки для пылесоса;---;Без категории;;-4
;00-00001884;Поршень 52 см3;---;Без категории;;-1
;00-00001885;Сверло ступенчатое 4-20;---;Без категории;;-2
;00-00001887;УШМ Дифмаш 010;---;Без категории;;-1
;00-00001888;Зажим массы;---;Без категории;;-2
;00-00001891;Стремянка 4х ступенчатая;---;Без категории;;
;00-00001893;Сцепление;---;Без категории;;-13
;00-00001896;Корпус редуктора;---;Без категории;;-3
;00-00001897;Степлер ручной;---;Без категории;;-4
;00-00001900;Аккумулятор;---;Без категории;;-7
;00-00001901;AVR;---;Без категории;;-4
;00-00001903;Ручка стартера;---;Без категории;;-10
;00-00001907;Аккумулятор 12В;---;Без категории;;-1
;00-00001909;Круг лепестковый абразивный радиальный Диолд d 40х25 мм, хвостовик d 6 мм,;---;Без категории;;-3
;00-00001911;Ремень клиновой 660;---;Без категории;;-2
;00-00001917;Стойка для УШМ;---;Без категории;;-1
;00-00001918;Шнур сетевой;---;Без категории;;-8
;00-00001920;Дефектация перфоратора;---;Без категории;;
;00-00001921;Диск пильный твёрдосплавный по дереву, ДСП ПРАКТИКА 180 х 20\16 мм, 40 зубов;---;Без категории;;-1
;00-00001922;Струбцина Кобальт;---;Без категории;;-4
;00-00001923;Филтр НЕРА для пылесоса (моторный);---;Без категории;;-1
;00-00001924;Длинногубцы;---;Без категории;;-1
;00-00001926;Заточка топора;---;Без категории;;-3
;00-00001927;Шина бензопилы;---;Без категории;;-1
;00-00001931;Ремонт дрели;---;Без категории;;
;00-00001936;Статор УШМ 020;---;Без категории;;-1
;00-00001937;"Шина CHAMPION 15""-0,325-1,3-64 (Ch250,255;H137,142,340,345,353,435-450 150SLBA095)¶";---;Без категории;;-1
;00-00001950;"Шина Oregon 14"" 3/8 PM 50";---;Без категории;;-1
;00-00001954;Пильное полотно для сабельной пилы;---;Без категории;;-5
;00-00001961;Шнур стартера;---;Без категории;;-84
;00-00001962;"Шина CHAMPION 20""-3/8-1,3-72 (Ch265,H61,365,372XP,395XP,562XP,576XP 200SLHD009)¶";---;Без категории;;-2
;00-00001963;Насадка бензорез 150 мм;---;Без категории;;-2
;00-00001964;Электромотор для шуруповерта 18Вт;---;Без категории;;-2
;00-00001965;Натяжитель цепи;---;Без категории;;-1
;00-00001966;Сверло ПРАКТИКА  4,8;---;Без категории;;-1
;00-00001968;Ремонт электродрели Bosch;---;Без категории;;
;00-00001978;Пильное полотно для сабельной пилы S1531LHCS, 5 TPI, 240 мм, 1,5 мм, по дереву;---;Без категории;;-1
;00-00001982;шланг импульсный;---;Без категории;;-3
;00-00001984;Подшипник тачки 20мм ось;---;Без категории;;-2
;00-00001985;Сверло ступенчатое по металлу 4-30мм;---;Без категории;;-2
;00-00001988;Фланец наружний ДП-2000;---;Без категории;;-1
;00-00001990;Бензонасос;---;Без категории;;-1
;00-00001991;Насадка бензорез для Н-136/142;---;Без категории;;-1
;00-00001992;ННМ-20 Насадка-ножницы;---;Без категории;;-4
;00-00002004;Клапан декомпрессионный;---;Без категории;;-1
;00-00002005;Насос дренажный КРОНВЕРК КР-600;---;Без категории;;-1
;00-00002012;Рихтовка коленвала;---;Без категории;;
;00-00002013;Шланги с фильтром;---;Без категории;;-4
;00-00002015;Трос привода;---;Без категории;;-3
;00-00002017;Нож пластиковый;---;Без категории;;-2
;00-00002018;Фильтр воздушный B&S;---;Без категории;;-1
;00-00002019;Штанга 26*9;---;Без категории;;-18
;00-00002020;Штанга 26*9;---;Без категории;;-2
;00-00002025;Шланг гибкий для компрессора Диолд ШПУ-10;---;Без категории;;-1
;00-00002028;Гайка м10-1,25;---;Без категории;;-1
;00-00002031;Шайбы редуктора для мотокос комплект ( шайбы+чашка+гайка,6 зубьев)¶;---;Без категории;;-10
;00-00002034;Кожух защитный T256,333,338,433,438,523,528 комплект с кронштейном;---;Без категории;;
;00-00002035;Венчик для смеси;---;Без категории;;-3
;00-00002036;Удлинитель сетевой 30 м 2*0,75;---;Без категории;;-1
;00-00002037;Подшипник для тачки 16мм;---;Без категории;;-2
;00-00002038;Триммер CHAMPION Т528S-2;---;Без категории;;-2
;00-00002039;ТЕ-650;---;Без категории;;-1
;00-00002040;Редуктор 24,5*4;---;Без категории;;-6
;00-00002045;Шампунь для моек;---;Без категории;;-2
;00-00002046;ЩЧ-75К щетка;---;Без категории;;-1
;00-00002049;Фен технический Диолд ВГВ-1-02;---;Без категории;;-1
;00-00002050;"Шина CHAMPION 15""-0,325-1,5-64";---;Без категории;;-1
;00-00002051;Насос дренажный Denzel DP250;---;Без категории;;
;00-00002053;Диск для мотокосы;---;Без категории;;-4
;00-00002054;Патрон сверлильный 10КLС-2;---;Без категории;;-2
;00-00002056;ПОЛОТНА НОЖОВОЧНЫЕ ПО МЕТАЛЛУ КОБАЛЬТ 300 ММ;---;Без категории;;-1
;00-00002067;Дефектация бытовой техники;---;Без категории;;
;00-00002068;Пильное полотно НМЭВ- 65КЗ;---;Без категории;;-1
;00-00002069;Пильное полотно НМЭВ- 45Т;---;Без категории;;-1
;00-00002071;Опорная тарелка ОТ-125 МШУ;---;Без категории;;-4
;00-00002072;Пилка для лобзика по ламинату;---;Без категории;;
;00-00002074;Кронштейн крепления руля;---;Без категории;;-10
;00-00002075;Кронштейн;---;Без категории;;-3
;00-00002078;Ручка напильника;---;Без категории;;-2
;00-00002083;Кольцо поршневое;---;Без категории;;-15
;00-00002084;Фланец подшипника;---;Без категории;;-2
;00-00002086;Набор мембран карбюратора;---;Без категории;;-3
;00-00002088;Маховик Husqvarna;---;Без категории;;-2
;00-00002089;Ремонт электрокосы;---;Без категории;;-2
;00-00002090;Миксер EM1-1600;---;Без категории;;-1
;00-00002095;Выравнивание коленчатого вала;---;Без категории;;
;00-00002097;ДЛИННОГУБЦЫ КОБАЛЬТ 200 ММ;---;Без категории;;-2
;00-00002099;Шайба крепления диска к-т;---;Без категории;;-9
;00-00002100;СЪЕМНИК СТОПОРНЫХ КОЛЕЦ КОБАЛЬТ ВНЕШНИЙ ПРЯМОЙ 150 ММ;---;Без категории;;-1
;00-00002104;Саморезы 65мм;---;Без категории;;-740
;00-00002105;Скобы для степлера 6мм;---;Без категории;;-23
;00-00002118;ПЦБ-50-18;---;Без категории;;-1
;00-00002122;Круг наждачный;---;Без категории;;-3
;00-00002123;Тарелка опорная шлифовальная;---;Без категории;;-2
;00-00002126;УШМ-1,2-03;---;Без категории;;-2
;00-00002127;Диск пильный140*20/16;---;Без категории;;-2
;00-00002129;Скважинный насос;---;Без категории;;
;00-00002130;Корпус шуруповерта;---;Без категории;;
;00-00002135;Электроды 3 мм ОЗС-12;---;Без категории;;-1
;00-00002137;Плата регулировки оборотов МШУ 1,2-01;---;Без категории;;-1
;00-00002139;Шланг поливочный Палисад 25м 3/4;---;Без категории;;-1
;00-00002140;Ремкомплект чепи;---;Без категории;;
;00-00002141;Щетка графитовая CB-350;---;Без категории;;-1
;00-00002162;Муфта сцепления ECHO;---;Без категории;;-10
;00-00002288;Сверло по стеклу и керамике Профи 4+;---;Без категории;;-1
;00-00002290;Дефектация насосной станции высокого давления;---;Без категории;;
;00-00002293;Винт слевой резьбой М6;---;Без категории;;-1
;00-00002295;Пильное полотно для сабельной пилы S922EF;---;Без категории;;-1
;00-00002297;Корд щетка ручная;---;Без категории;;-5
;00-00002302;Пилкадержатель;---;Без категории;;
;00-00002303;Прабойник;---;Без категории;;
;00-00002304;Пробойник;---;Без категории;;-2
;00-00002305;Набор шарошек;---;Без категории;;-1
;00-00002306;Шип расклепывательный;---;Без категории;;-1
;00-00002307;Срезной болт;---;Без категории;;-8
;00-00002313;Напильник круглый 4,0 мм.;---;Без категории;;-63
;00-00002314;Напильник круглый 4,8 мм.;---;Без категории;;-73
;00-00002315;Напильник круглый 5,5 мм.;---;Без категории;;-58
;00-00002318;"Шина  14"" 3/8 1,3 50 Stihl";---;Без категории;;-11
;00-00002319;Стойка для дрели смс-43;---;Без категории;;-1
;00-00002320;Насос дренажный ДЕНЗЕЛ 800;---;Без категории;;-1
;00-00002321;Дренажный насос DP1100X, 1100 Вт, подъем 11 м, 15500 л/ч Denzel;---;Без категории;;-1
;00-00002324;"Диск 125 х 36Т х 22,2 мм (переходник на 20) ""ДИОЛД""¶";---;Без категории;;-1
;00-00002326;Нож для триммера Диолд 230х40Тх25,4х1,3мм;---;Без категории;;
;00-00002327;Щеточный узел для BOSCH-2-26;---;Без категории;;
;00-00002328;Бита с торцевой головкой 8мм;---;Без категории;;-5
;00-00002329;Рулетка STAYER 10м;---;Без категории;;-2
;00-00002330;Диск пильный 125;---;Без категории;;-2
;00-00002331;Ножовка 350 мм ЗУБР;---;Без категории;;-1
;00-00002332;Насадка пила;---;Без категории;;-1
;00-00002335;Держатель электродов 400А;---;Без категории;;-2
;00-00002338;Угловая шлифовальная машина Metabo W 750-125;---;Без категории;;
;00-00002343;Фильтр воздушный FS-400;---;Без категории;;-2
;00-00002346;"Скважинный насос DWS-3,5-100, винтовой, диаметр 3,5"", 800 Вт, 1700 л/ч, напор 100 м Denzel";---;Без категории;;-1
;00-00002347;"Скважинный насос СНВ-3-65, винтовой, диаметр 3"", 700 Вт, 1800 л/ч, напор 65 м Сибртех";---;Без категории;;-1
;00-00002351;Шлифовальная лента 75х457 мм Р36 (3 шт)¶;---;Без категории;;-5
;00-00002352;"Диск алмазный турбированный ПРАКТИКА ""Сделай Сам"" 125 х 22 мм (1 шт.) отгружать кратно 5 шт (в пленк";---;Без категории;;-1
;00-00002354;"Скважинный насос DWS-3-75, винтовой, диаметр 3"", 500 Вт, 1600 л/ч, напор 75 м";---;Без категории;;-1
;00-00002355;Триммер ДДЕ-1300;---;Без категории;;-1
;00-00002357;СВЕРЛО ПО МЕТАЛЛУ ПРАКТИКА Р6М5 11,0 Х 142 ММ;---;Без категории;;-1
;00-00002360;Штуцер деки для подключения шланга;---;Без категории;;-2
;00-00002363;Блок питания 12В;---;Без категории;;-1
;00-00002364;Ремень клиновой;---;Без категории;;-10
;00-00002365;Диск отрезной 230*22,2 бетон;---;Без категории;;
;00-00002366;Бур по бетону 25*600 SDS MAX;---;Без категории;;-1
;00-00002367;Сверло по стеклу и керамике стандарт 2+;---;Без категории;;-2
;00-00002368;Термостат B&S 5932085;---;Без категории;;-1
;00-00002369;Головка 1/2 27;---;Без категории;;-1
;00-00002370;Головка 1/2 32;---;Без категории;;-1
;00-00002373;Ремкомплект троса;---;Без категории;;-2
;00-00002374;Коленчатый вал;---;Без категории;;-3
;00-00002376;Болт крепления сцепления;---;Без категории;;-4
;00-00002379;Конденсатор 16Мф;---;Без категории;;-1
;00-00002382;Мотопомпа грязевая MasterYard № 410138000074;---;Без категории;;
;00-00002384;Мотопомпа грязевая MasterYard № 41013800007;---;Без категории;;
;00-00002385;Мотопомпа грязевая MasterYard № 410138000075;---;Без категории;;
;00-00002386;"Пильное полотно для сабельной пилы S922EF, BIM, 18 TPI, 150мм, 0,9 мм, по металлу ""ДИОЛД""";---;Без категории;;-4
;00-00002387;Набор ножей Policut 5-3, 6-3, 20-3, 40-3 (12 штук );---;Без категории;;-2
;00-00002389;Редуктор 24*7;---;Без категории;;-3
;00-00002391;Диск с твердосплавными напайками;---;Без категории;;-30
;00-00002396;"Шина 18"" 3/8 1,5 68";---;Без категории;;-1
;00-00002400;Набор ключей шестигранных 9шт.;---;Без категории;;-6
;00-00002404;Молоток Gigant 500 г.;---;Без категории;;-1
;00-00002405;Бур-лопатка;---;Без категории;;-3
;00-00002408;Диск шлифовальный 125 мм;---;Без категории;;-1
;00-00002409;"Пистолет для герметика ДИОЛД 9""¶";---;Без категории;;-1
;00-00002411;Травосборник;---;Без категории;;-2
;00-00002412;Триммер Т 444S-2;---;Без категории;;-1
;00-00002414;Опорная тарелка на липучей основе Диолд ОТ-125 МШУ;---;Без категории;;-3
;00-00002415;Промывка для пены;---;Без категории;;-1
;00-00002416;Триммер Т 252;---;Без категории;;-1
;00-00002419;"Шина 16"" 3/8 1,6 60";---;Без категории;;-2
;00-00002421;Шестерня привода левая;---;Без категории;;-1
;00-00002422;Шестеря привода правая;---;Без категории;;-1
;00-00002423;Дефлектор двигателя;---;Без категории;;-1
;00-00002424;Пластина дефлектора;---;Без категории;;-1
;00-00002425;Втулка штанги;---;Без категории;;-6
;00-00002426;Двигатель для шуруповерта 21Вт;---;Без категории;;-3
;00-00002427;ЦПГ Hitachi;---;Без категории;;-1
;00-00002430;Нож для рубанка 110*29*3,0;---;Без категории;;-2
;00-00002433;"Насос вибрационный ""Ручеек-1"", 10м (верхний забор воды; медная обмотка двигателя)";---;Без категории;;-1
;00-00002435;Моечная машина  R-165;---;Без категории;;-1
;00-00002439;Дефектация мотопомпы Fubag;---;Без категории;;
;00-00002441;Вставка в головку;---;Без категории;;-2
;00-00002459;Курок газа;---;Без категории;;-1
;00-00002469;Шнек D 150;---;Без категории;;-1
;00-00002475;"Диск125х48Тх22,2мм(переходникна20)""ДИОЛД""¶";---;Без категории;;-1
;00-00002477;ЗУБИЛО SDS-MAX ПИКООБРАЗНОЕ ПРАКТИКА 600 ММ;---;Без категории;;-1
;00-00002482;ПАССАТИЖИ КОБАЛЬТ 160 ММ;---;Без категории;;-1
;00-00002483;Канистра для топлива с крышкой и лейкой 20 л Rezer REZOIL 03.011.00041;---;Без категории;;-1
;00-00002489;Биты с торцевыми головками 10 мм, 45 мм, 2 шт. Matrix;---;Без категории;;-1
;00-00002491;Фланец;---;Без категории;;-3
;00-00002492;"Шина 14"" 325 1,3 56 Stihl";---;Без категории;;-1
;00-00002494;Ролик ствола HR5001c;---;Без категории;;-1
;00-00002497;Замок;---;Без категории;;-1
;00-00002498;Замок навесной АПЕКС;---;Без категории;;-2
;00-00002500;Набор гравера;---;Без категории;;-1
;00-00002504;Отвертка крестовая PH2x100 мм;---;Без категории;;-2
;00-00002523;"Угольник столярный, 0,8 мм,  300 мм ""ДИОЛД""";---;Без категории;;
;00-00002524;"Угольник столярный, 0,8 мм,  350 мм ""ДИОЛД";---;Без категории;;-1
;00-00002525;Нож, 18 мм, выдвижное лезвие  Matrix;---;Без категории;;-1
;00-00002526;Снегоуборочная машина SB 560;---;Без категории;;-2
;00-00002527;Болт срезной;---;Без категории;;-5
;00-00002535;Тепловентилятор ДЕНЗЕЛ DHC-3-150;---;Без категории;;-1
;00-00002536;Шланг маслозаборный;---;Без категории;;-1
;00-00002537;Пилки для лобзика по алюминию ПРАКТИКА тип T227D 100 х 75 мм, криволинейный рез, HSS (2шт.)¶;---;Без категории;;-1
;00-00002539;Полотно по металлу 10шт.;---;Без категории;;-1
;00-00002547;Сверло по бетону ПРАКТИКА  5 х 85 мм (1шт.) блистер серия Профи¶;---;Без категории;;-1
;00-00002550;Набор ГРМ;---;Без категории;;-1
;00-00002586;Набор аммортизаторов;---;Без категории;;-4
;00-00002589;Звено соеденительное.;---;Без категории;;-10
;00-00002595;Пилки для лобзика Диолд T-SETS (Т123X, Т234X, Т345X);---;Без категории;;-1
;00-00002596;Лист охлождающий;---;Без категории;;-1
;00-00002597;Прокладка глушителя;---;Без категории;;-1
;00-00002598;Щетка для УШМ чашечная d-125мм;---;Без категории;;-6
;00-00002599;"Щетка д/дрели ""чашка"" гофр. 50мм GEPARD";---;Без категории;;-2
;00-00002601;Рукоятка;---;Без категории;;-1
;00-00002602;Электропила мини;---;Без категории;;-1
;00-00002604;Ремонт бензощетки Stihl;---;Без категории;;
;00-00002605;Сверло по бетону ПРАКТИКА  8 х 120 мм (1шт.) блистер серия Профи¶;---;Без категории;;-1
;00-00002606;Сверло по бетону ПРАКТИКА 10 х 120 мм (1шт.) блистер серия Профи¶;---;Без категории;;-1
;00-00002607;Пила цепная аккумуляторная;---;Без категории;;-2
;00-00002608;Муфта крепления ручек;---;Без категории;;-5
;00-00002610;Пилка для лобзика по металу;---;Без категории;;-2
;00-00002624;Пильное полотно для сабельной пилы S1531L¶Пильное полотно;---;Без категории;;-1
;00-00002627;Сверло 5мм.;---;Без категории;;-8
;00-00002630;Мешок для пылесоса;---;Без категории;;-2
;00-00002631;Пружина редуктора;---;Без категории;;-1
;00-00002633;Шина 18 325 1,3 72;---;Без категории;;-1
;00-00002635;Секатор Стартул 210мм;---;Без категории;;-3
;00-00002639;Круг алмазный Диолд 125x22,2 мм;---;Без категории;;-1
;00-00002641;Фильтр воздушный T 444S-2 фетр;---;Без категории;;-5
;00-00002644;Пистолет поливочный;---;Без категории;;-7
;00-00002647;"Насадка ""цепная пила"" на УШМ (125мм)";---;Без категории;;-2
;00-00002690;Трос сцепления;---;Без категории;;-1
;00-00002691;Трос сцепления с ручкой;---;Без категории;;-1
;00-00002692;Бур по бетону SDS-Plus 6×210;---;Без категории;;-1
;00-00002693;Втулка головки;---;Без категории;;-2
;00-00002694;Ремень двухплечный ECO GTP-821;---;Без категории;;-6
;00-00002697;Шлифовальная платформа НМЭВУ-909;---;Без категории;;-1
;00-00002698;Быстросъем;---;Без категории;;-1
;00-00002700;Соеденитель;---;Без категории;;-2
;00-00002701;Разбрызгиватель;---;Без категории;;-1
;00-00002702;Поршневая группа STIHL TS-800 (аналог);---;Без категории;;-1
;00-00002703;Прокладка цилиндра TS-800;---;Без категории;;-1
;00-00002704;Фильтр воздушный TS-800;---;Без категории;;-1
;00-00002705;Фильтр топливный TS-800;---;Без категории;;-1
;00-00002708;Распылитель Стартул;---;Без категории;;-1
;00-00002710;Ремень хода LM 5131  10*711Li;---;Без категории;;-2
;00-00002711;Щетки графитовые (пара);---;Без категории;;
;00-00002712;Щетки графитовые (пара);---;Без категории;;-2
;00-00002713;Дефектация электроинструмента;---;Без категории;;
;00-00002715;Комплект шайб и гайки редуктора (4 предмета) для бензокос FS 55,;---;Без категории;;-2
;00-00002716;ЦПГ Echo 2655;---;Без категории;;
;00-00002741;Шланг для пылесоса;---;Без категории;;
;00-00002765;Штанга 28*9;---;Без категории;;-1
;00-00002766;Диск кустореза OREGON Scarlet 225*25.4;---;Без категории;;
;00-00002767;Диск кустореза Husqvarna Scarlet 225*25.4;---;Без категории;;-1
;00-00002769;Круг зачистной;---;Без категории;;-4
;00-00002773;"Маска сварочная ПАРМА практик (110х90 мм; DIN9)";---;Без категории;;
;00-00002775;Шлифтарелка;---;Без категории;;-8
;00-00002778;Шпилька;---;Без категории;;-1
;00-00002785;Переходник;---;Без категории;;-14
;00-00002786;Пистолет пневмо.;---;Без категории;;-1
;00-00002787;"Ключ-трещотка 1/2"", 45 зубьев";---;Без категории;;-1
;00-00002788;Молоток;---;Без категории;;-2
;00-00002790;Диагностика;---;Без категории;;
;00-00002793;кран топливный;---;Без категории;;-2
;00-00002794;Распиратор;---;Без категории;;-2
;00-00002798;Трактор садовый DDE 106 - 300 (25,0 л.с., шир., 106 см, выс., 25-90 мм, сбор-к 300 л);---;Без категории;;-1
;00-00002804;Дека для г/косилки;---;Без категории;;-2
;00-00002806;Щетка дисковая для углошлифовальных машин;---;Без категории;;-2
;00-00002808;Зажим массы 3м-300-02;---;Без категории;;-1
;00-00002809;Держатель электродов ДЭ-600;---;Без категории;;-1
;00-00002810;Горелка с пьезоподжигом;---;Без категории;;-1
;00-00002821;Горелка газовая;---;Без категории;;-1
;00-00002829;Щиток сварщика с самозатемняющимся светофильтром Solaris ASF520S;---;Без категории;;-1
;00-00002831;Батарейка;---;Без категории;;-43
;00-00002832;Движок;---;Без категории;;-1
;00-00002835;Корпус возд.фильтра;---;Без категории;;-4
;00-00002836;Шаблон;---;Без категории;;-1
;00-00002837;Топор;---;Без категории;;-1
;00-00002840;Щетка;---;Без категории;;-2
;00-00002850;Литиевая батарейка CR2430;---;Без категории;;-6
;00-00002857;Бита торцовая 8мм;---;Без категории;;
;00-00002858;Бита торцевая 8мм Диолд;---;Без категории;;-2
;00-00002861;Станция водоснабжения автоматическая CLASSIC-SP 1,5-20, A&P (300 Вт, 4000 л/ч, 30 м);---;Без категории;;
;00-00002885;За проведение гарантийных и предторговых ремонтов по договору Услуги по ремонту №ИР-0095/19-СС от 25;---;Без категории;;
;00-00002889;Пильный диск по дереву 160x48Tx20 мм;---;Без категории;;-1
;00-00002891;Клапана ГБЦ;---;Без категории;;-1
;00-00002895;Подошва шлливмашины;---;Без категории;;-2
;00-00002896;Ремонт мотопомпы;---;Без категории;;
;00-00002904;Зарядное устройство;---;Без категории;;-1
;00-00002907;Опора;---;Без категории;;-1
;00-00002909;Предоплата за услуги по ремонту;---;Без категории;;
;00-00002910;Пилка для сабельной пилы;---;Без категории;;-3
;00-00002915;Сверло 7,0мм;---;Без категории;;-5
;00-00002923;Диск кустореза;---;Без категории;;-1
;00-00002924;Сцепление для виброплиты;---;Без категории;;-2
;00-00002927;Компрессор DGM AC-125C;---;Без категории;;-1
;00-00002930;Маховик G-390;---;Без категории;;-1
;00-00002932;Полотно по металлу;---;Без категории;;-2
;00-00002934;Секатор;---;Без категории;;-6
;00-00002935;Пистолет для герметика ДИОЛД 9″;---;Без категории;;-1
;00-00002936;Пистолет для герметика ДИОЛД 9″;---;Без категории;;-1
;00-00002937;Клей монтажный ТИТАН №1;---;Без категории;;-1
;00-00002939;Пистолет распылитель;---;Без категории;;-1
;00-00002949;Шланг напорный;---;Без категории;;-1
;00-00002952;Аккум. мини-пила;---;Без категории;;-4
;00-00002953;Шина 15 1,3 3/8 55;---;Без категории;;-1
;00-00002956;Сверло по дереву;---;Без категории;;-2
;00-00002963;Ремонт кустореза Efco;---;Без категории;;
;00-00002964;Вильчатый рычаг;---;Без категории;;-1
;00-00002968;Запасные части для г/косилки;---;Без категории;;-1
;00-00002977;Уплотнение имп.канала;---;Без категории;;-2
;00-00002979;Крышка воздушного фильтра;---;Без категории;;-1
;00-00002980;Набор минипила плюс секатор;---;Без категории;;-2
;00-00002982;Клин валочный 340 мм;---;Без категории;;-1
;00-00002983;Сверло 6мм;---;Без категории;;-2
;00-00002991;Комплект шайб и гайки редуктора;---;Без категории;;-2
;00-00002992;Заточка ножа газонокосилки;---;Без категории;;-1
;00-00002993;Аккум. мини-пила + Секатор;---;Без категории;;-2
;00-00002998;Пружина;---;Без категории;;-1
;00-00002999;Шестигранник набор;---;Без категории;;-2
;00-00003007;Ручка левая;---;Без категории;;-1
;00-00003008;Ручка правая;---;Без категории;;-2
;00-00003009;Круг лепестковый абразивный;---;Без категории;;-3
;00-00003011;"Клин валочный пластик. 12""(30см)";---;Без категории;;-4
;00-00003017;Краскораспылитель аккумуляторный;---;Без категории;;-1
;00-00003018;Плиткорез электрический;---;Без категории;;-1
;00-00003019;Дальномер лазерный;---;Без категории;;-1
;00-00003020;Коронка алмазная;---;Без категории;;-1
;00-00003021;Шлифмашина;---;Без категории;;-1
;00-00003022;Виброплита;---;Без категории;;-1
;00-00003023;Барашек;---;Без категории;;-2
;00-00003025;Пассатижи 200 мм;---;Без категории;;-1
;00-00003026;Отвертка крестовая РH1x75 мм;---;Без категории;;-1
;00-00003028;Кожух подвижный в сборе;---;Без категории;;-1
;00-00003029;Шлифподошва;---;Без категории;;-1
;00-00003030;Лопата совковая;---;Без категории;;-1
;00-00003043;Патрон SDS-PLUS;---;Без категории;;-2
;00-00003046;Направляющая бокового выброса;---;Без категории;;-1
;00-00003054;Сверло ступенчатое по металлу 4-12 мм,;---;Без категории;;-1
;00-00003055;"Скважинный насос СНВ-3,5-90, винтовой, диаметр 3,5"", 700 Вт, 1500 л/ч, напор 90 м Сибртех";---;Без категории;;-1
;00-00003057;"Патрон сверлильный быстрозажимной GEPARD (GP0820-01) (1,5-13 мм, 1/2""-20UNF)";---;Без категории;;-1
;00-00003059;Кисть;---;Без категории;;-2
;00-00003062;Ротор WS1207;---;Без категории;;
;00-00003063;Щетки угольные к-т (2шт) WS1207;---;Без категории;;
;00-00003069;Диск отрезной по нержавеющей стали 230х22х1.8;---;Без категории;;-6
;00-00003073;Диск трехлопостной;---;Без категории;;-4
;00-00003074;Ремкомплект патрона;---;Без категории;;-1
;00-00000002;Ремонт бензоинструмента;---;РЕМОНТ УСЛУГИ;;
;00-00000006;Ремонт бензореза TS 800;---;РЕМОНТ УСЛУГИ;;
;00-00000010;Ремонт высотореза Husqvarna;---;РЕМОНТ УСЛУГИ;;
;00-00000061;Ремонт бензопилы Husqvarna 576;---;РЕМОНТ УСЛУГИ;;
;00-00000062;Ремонт бензопилы Husqvarna 372 №1101341509;---;РЕМОНТ УСЛУГИ;;
;00-00000063;Ремонт бензопилы Stihl MS250;---;РЕМОНТ УСЛУГИ;;
;00-00000075;Ремонт отбойного молотка Hitachi;---;РЕМОНТ УСЛУГИ;;
;00-00000076;Ремонт УШМ METABO;---;РЕМОНТ УСЛУГИ;;
;00-00000077;Ремонт бензопилы Stihl MS-361;---;РЕМОНТ УСЛУГИ;;
;00-00000078;Ремонт бензопилы Stihl MS180;---;РЕМОНТ УСЛУГИ;;
;00-00000082;Ремонт виброплиты;---;РЕМОНТ УСЛУГИ;;
;00-00000091;Ремонт бензогенератора ФУБАК БС5500 1101341511;---;РЕМОНТ УСЛУГИ;;
;00-00000092;Ремонт бензопилы Stihl MS 260;---;РЕМОНТ УСЛУГИ;;
;00-00000093;Ремонт бензопилы Husqvarna 450;---;РЕМОНТ УСЛУГИ;;
;00-00000094;Дефектация бензопилы Кратон;---;РЕМОНТ УСЛУГИ;;
;00-00000095;Дефектация воздуходувки;---;РЕМОНТ УСЛУГИ;;
;00-00000146;Ремонт УШМ Makita 9558;---;РЕМОНТ УСЛУГИ;;
;00-00000148;Ремонт бензореза Stihl TS400;---;РЕМОНТ УСЛУГИ;;
;00-00000149;Ремонт бензокосы AL-KO;---;РЕМОНТ УСЛУГИ;;
;00-00000210;Ремонт мотопомпы PG 950 T;---;РЕМОНТ УСЛУГИ;;
;00-00000218;Ремонт бензопилы Husqvarna 365 №1101341486;---;РЕМОНТ УСЛУГИ;;
;00-00000220;Ремонт воздуходувки Чемпион;---;РЕМОНТ УСЛУГИ;;
;00-00000232;Ремонт бензопилы Husqvarna 445;---;РЕМОНТ УСЛУГИ;;
;00-00000233;Ремонт бензопилы Husqvarna 345;---;РЕМОНТ УСЛУГИ;;
;00-00000266;Ремонт отбойного молотка Makita;---;РЕМОНТ УСЛУГИ;;
;00-00000267;Ремонт отбойного молотка Bosch;---;РЕМОНТ УСЛУГИ;;
;00-00000268;Ремонт УШМ Hammerflex;---;РЕМОНТ УСЛУГИ;;
;00-00000269;Ремонт бензопилы Oleo-Mac CS-35;---;РЕМОНТ УСЛУГИ;;
;00-00000279;Ремонт бензопилы Makita 4610;---;РЕМОНТ УСЛУГИ;;
;00-00000280;Ремонт газонокосилки Хускварна J-50;---;РЕМОНТ УСЛУГИ;;
;00-00000317;Ремонт бензокосы Oleo-Mac 25;---;РЕМОНТ УСЛУГИ;;
;00-00000319;Ремонт бензопилы Stihl MS 230;---;РЕМОНТ УСЛУГИ;;
;00-00000321;Ремонт бензопилы Husqvarna 562;---;РЕМОНТ УСЛУГИ;;
;00-00000383;Ремонт сетевого шуруповерта Диолд;---;РЕМОНТ УСЛУГИ;;
;00-00000384;Ремонт Husqvarna 323R №0072;---;РЕМОНТ УСЛУГИ;;
